                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6783,                 4.0655,                 1.5504,                0.01397,                0.30615,                0.03233,                0.02172,                 1.2572,                 4.0282,                 1.3059,                  9e-05,                  9e-05,                  9e-05
                      2,                 1.4152,                 3.5449,                 1.3278,                0.02839,                0.43153,                0.04997,                0.03131,                 1.3395,                  3.811,                 1.2567,             0.00018812,             0.00018812,             0.00018812
                      3,                 1.3898,                 3.0604,                 1.2718,                0.04213,                 0.4629,                0.11202,                0.05764,                 1.4113,                 3.3257,                 1.2695,             0.00028426,             0.00028426,             0.00028426
                      4,                 1.3865,                 2.6001,                 1.2404,                0.68566,                0.12711,                0.12654,                0.06969,                 1.4509,                 2.9494,                 1.2985,             0.00037842,             0.00037842,             0.00037842
                      5,                  1.374,                  2.224,                 1.2533,                 0.6856,                0.15679,                0.14721,                0.08065,                  1.431,                 2.3544,                 1.3315,              0.0004706,              0.0004706,              0.0004706
                      6,                  1.356,                 2.1163,                 1.2445,                0.52319,                0.18196,                0.15017,                 0.0938,                 1.3622,                 2.4845,                 1.3082,              0.0005608,              0.0005608,              0.0005608
                      7,                  1.314,                 1.9273,                 1.2238,                0.53447,                0.20959,                0.17135,                0.09985,                 1.4032,                 2.4575,                 1.3347,             0.00064901,             0.00064901,             0.00064901
                      8,                 1.2956,                 1.7596,                 1.2119,                0.61614,                 0.2401,                0.20537,                0.12716,                 1.3274,                 2.1582,                 1.2793,             0.00073525,             0.00073525,             0.00073525
                      9,                 1.3009,                  1.719,                 1.2035,                0.57017,                0.23773,                0.23742,                0.14726,                 1.2698,                 1.9579,                  1.241,             0.00081951,             0.00081951,             0.00081951
                     10,                 1.2421,                 1.6304,                 1.1799,                 0.6208,                0.26439,                0.26044,                0.16852,                 1.2626,                 1.8768,                   1.25,             0.00090179,             0.00090179,             0.00090179
                     11,                 1.1968,                 1.5693,                 1.1882,                0.62177,                0.26137,                0.26331,                0.17731,                  1.265,                 1.8824,                 1.2706,               0.000901,               0.000901,               0.000901
                     12,                 1.2088,                 1.4961,                 1.1743,                 0.7507,                0.22763,                0.25603,                0.15957,                 1.3129,                 1.9497,                 1.2887,               0.000901,               0.000901,               0.000901
                     13,                 1.2144,                 1.4862,                 1.1709,                0.60558,                 0.2724,                0.24218,                0.15046,                 1.2887,                 1.9229,                 1.2732,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.2002,                 1.4571,                 1.1711,                0.45608,                0.21808,                0.23898,                0.14986,                 1.3181,                 1.9539,                 1.2712,              0.0008812,              0.0008812,              0.0008812
                     15,                  1.169,                 1.4072,                 1.1548,                0.41729,                0.27198,                0.25923,                0.16046,                 1.3071,                 2.1463,                 1.2687,              0.0008713,              0.0008713,              0.0008713
                     16,                  1.143,                 1.3581,                 1.1446,                0.49246,                0.27457,                0.27085,                0.17261,                 1.3308,                 2.3697,                  1.283,              0.0008614,              0.0008614,              0.0008614
                     17,                  1.137,                 1.3685,                 1.1375,                0.52031,                0.32378,                0.30909,                0.20774,                 1.3107,                 2.1614,                 1.2603,              0.0008515,              0.0008515,              0.0008515
                     18,                  1.152,                 1.3488,                 1.1327,                0.54213,                0.27495,                0.30094,                0.18801,                 1.3509,                 2.3365,                 1.3096,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.1239,                 1.2974,                 1.1218,                0.52158,                0.30235,                0.32722,                0.19905,                 1.3112,                 2.1878,                 1.2985,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.1256,                  1.296,                 1.1273,                0.49475,                0.32219,                0.29994,                  0.186,                 1.2805,                 1.9262,                 1.2505,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.0852,                 1.2721,                 1.1158,                0.56524,                0.31186,                0.33298,                0.20745,                 1.2591,                 1.7854,                 1.2292,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.1029,                 1.2522,                 1.1186,                0.31838,                0.37214,                0.32245,                0.21691,                 1.2301,                 1.7291,                 1.2238,               0.000802,               0.000802,               0.000802
                     23,                 1.1029,                 1.2631,                 1.1274,                0.33688,                0.34748,                0.31219,                0.20999,                   1.23,                 1.8531,                 1.2196,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.1095,                 1.2081,                 1.1096,                0.53225,                0.27782,                0.33817,                0.22267,                 1.2197,                 1.8211,                 1.2178,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.0714,                 1.1867,                 1.0904,                0.38314,                0.38901,                0.34485,                0.21865,                 1.2385,                 1.7237,                 1.2293,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.0674,                 1.1814,                 1.0952,                0.38684,                0.40315,                0.36871,                0.24096,                 1.2522,                 1.5844,                  1.227,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.1126,                 1.1904,                 1.1051,                0.40093,                0.41572,                0.37734,                0.24723,                 1.2028,                 1.5623,                 1.2059,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.0666,                 1.1847,                 1.0998,                0.53913,                0.36116,                0.36678,                0.23244,                 1.1891,                 1.5849,                  1.206,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.0443,                 1.1651,                 1.0924,                0.43017,                 0.4503,                0.38625,                0.25225,                 1.1857,                 1.5226,                 1.1986,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.0573,                 1.1243,                 1.0896,                 0.4753,                0.46103,                0.43085,                0.28627,                 1.1911,                 1.5825,                 1.2105,              0.0007228,              0.0007228,              0.0007228
