                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5764,                 3.6906,                 1.5926,                0.68573,                0.12881,                0.09758,                0.06948,                 1.2418,                  2.978,                 1.4204,              6.426e-05,              6.426e-05,              6.426e-05
                      2,                 1.2068,                 2.0751,                 1.3126,                0.70979,                0.22625,                0.20105,                0.13453,                 1.1801,                 2.8123,                  1.255,             0.00013476,             0.00013476,             0.00013476
                      3,                 1.1168,                 1.6193,                 1.2172,                0.69308,                0.26413,                0.20949,                0.13767,                 1.0684,                 5.1637,                 1.1925,             0.00020433,             0.00020433,             0.00020433
                      4,                 1.0856,                 1.5111,                 1.1783,                0.48014,                0.34065,                0.26394,                0.18557,                 1.0825,                   2.89,                 1.2077,             0.00027295,             0.00027295,             0.00027295
                      5,                 1.0323,                 1.2726,                 1.1449,                 0.4023,                0.31052,                  0.285,                0.17839,                 1.1504,                 2.2758,                 1.2501,             0.00034062,             0.00034062,             0.00034062
                      6,                 1.0183,                 1.2451,                   1.13,                0.55851,                0.35766,                0.31721,                0.21088,                 1.1639,                 2.0252,                  1.287,             0.00040736,             0.00040736,             0.00040736
                      7,                 1.0048,                 1.1493,                  1.138,                0.50099,                0.30834,                0.29609,                0.20256,                 1.1514,                 2.0029,                 1.2611,             0.00047315,             0.00047315,             0.00047315
                      8,                0.98059,                 1.1468,                 1.1386,                0.55073,                0.33648,                 0.3723,                0.25472,                  1.167,                 1.5158,                 1.2763,               0.000538,               0.000538,               0.000538
                      9,                 1.0029,                 1.1497,                 1.1064,                 0.3503,                 0.3798,                0.31331,                0.21469,                  1.179,                 1.8436,                 1.2877,             0.00060191,             0.00060191,             0.00060191
                     10,                0.99788,                 1.1146,                 1.1198,                0.40357,                0.32528,                0.34021,                0.22724,                 1.1371,                 1.6876,                 1.2641,             0.00066487,             0.00066487,             0.00066487
                     11,                 0.9792,                  1.057,                 1.1207,                0.56312,                0.34561,                0.40405,                0.25876,                 1.1167,                 1.7591,                 1.2521,             0.00066688,             0.00066688,             0.00066688
                     12,                0.98371,                 1.1349,                 1.1258,                0.43222,                0.35628,                0.34859,                0.21666,                 1.1507,                 1.5716,                 1.2971,             0.00066688,             0.00066688,             0.00066688
                     13,                0.95201,                 1.0708,                 1.1016,                0.50069,                 0.4005,                0.39279,                0.25742,                  1.138,                 1.4529,                 1.2753,             0.00066216,             0.00066216,             0.00066216
                     14,                0.97833,                 1.0122,                 1.0999,                0.38198,                0.40034,                0.35204,                0.25059,                 1.1219,                 1.5028,                 1.2767,             0.00065745,             0.00065745,             0.00065745
                     15,                0.95557,                0.98588,                   1.11,                  0.485,                0.41403,                0.31666,                 0.2151,                 1.1321,                 1.7502,                   1.29,             0.00065274,             0.00065274,             0.00065274
                     16,                0.92118,                0.92608,                 1.0656,                0.48093,                0.38276,                 0.3763,                0.25513,                 1.1635,                 1.5884,                 1.3026,             0.00064803,             0.00064803,             0.00064803
                     17,                0.90976,                  1.005,                 1.0884,                0.55638,                0.36244,                0.42023,                0.28267,                 1.1494,                 1.4302,                 1.2877,             0.00064331,             0.00064331,             0.00064331
                     18,                0.91572,                 1.0056,                 1.0777,                0.39465,                0.40136,                0.40154,                0.27876,                 1.1245,                 1.4813,                 1.2716,              0.0006386,              0.0006386,              0.0006386
                     19,                0.88953,                0.95997,                  1.055,                0.44211,                0.35416,                0.39297,                0.27784,                 1.0996,                 1.5405,                 1.2609,             0.00063389,             0.00063389,             0.00063389
                     20,                0.87404,                0.88616,                 1.0366,                0.59328,                0.45915,                 0.5124,                0.32057,                 1.0979,                 1.4027,                 1.2567,             0.00062918,             0.00062918,             0.00062918
                     21,                0.88463,                0.94075,                 1.0637,                0.59561,                 0.4118,                0.43668,                0.28203,                 1.1487,                  1.499,                  1.289,             0.00062446,             0.00062446,             0.00062446
