                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7861,                  4.407,                 1.6517,                0.20852,                0.06027,                0.01457,                0.00697,                 1.7297,                 4.6709,                 1.6911,              2.856e-05,              2.856e-05,              2.856e-05
                      2,                 1.7105,                 4.0063,                 1.6326,                0.21609,                0.09425,                 0.0359,                0.02049,                 1.4614,                  3.744,                 1.4954,             6.3836e-05,             6.3836e-05,             6.3836e-05
                      3,                 1.4748,                 2.6573,                 1.4421,                0.33673,                0.19759,                0.12429,                0.07542,                 1.3378,                 3.0645,                 1.3909,             9.8641e-05,             9.8641e-05,             9.8641e-05
                      4,                 1.2617,                 1.9336,                 1.2817,                0.40589,                0.21215,                0.18069,                0.11378,                 1.3058,                 3.2221,                 1.3035,             0.00013297,             0.00013297,             0.00013297
                      5,                 1.1549,                 1.6167,                 1.1822,                0.24537,                0.41236,                0.26091,                0.16714,                 1.1852,                 3.5756,                 1.2169,             0.00016684,             0.00016684,             0.00016684
                      6,                 1.1111,                 1.4872,                 1.1481,                0.24985,                 0.3741,                0.28756,                0.19259,                 1.1244,                 4.2194,                 1.1708,             0.00020023,             0.00020023,             0.00020023
                      7,                 1.0313,                 1.3009,                 1.1139,                0.56012,                0.31592,                0.26922,                0.18624,                 1.1194,                 4.0042,                  1.166,             0.00023315,             0.00023315,             0.00023315
                      8,                 1.0207,                 1.2567,                 1.1043,                0.51043,                0.34568,                0.31689,                0.21696,                  1.129,                 2.8537,                  1.186,              0.0002656,              0.0002656,              0.0002656
                      9,                 1.0562,                 1.1952,                 1.1106,                0.55768,                0.30485,                0.27134,                0.18545,                 1.1233,                 3.5215,                 1.1835,             0.00029757,             0.00029757,             0.00029757
                     10,                 1.0343,                 1.1364,                 1.0997,                0.38325,                0.40727,                0.31353,                0.20602,                 1.1719,                 2.3961,                 1.2454,             0.00032908,             0.00032908,             0.00032908
