                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5076,                  3.288,                 1.5267,                0.20741,                 0.2852,                0.19581,                0.12801,                 1.2233,                 2.7216,                 1.3208,              0.0001428,              0.0001428,              0.0001428
                      2,                 1.1142,                 1.6629,                 1.2205,                0.32773,                0.35625,                0.30842,                0.19811,                 1.1273,                 2.1883,                 1.2674,             0.00029129,             0.00029129,             0.00029129
                      3,                  1.037,                 1.4146,                 1.1853,                 0.4856,                0.40916,                0.38423,                0.25613,                 1.1052,                 1.9305,                 1.2614,              0.0004383,              0.0004383,              0.0004383
                      4,                 1.0266,                 1.3156,                 1.1718,                0.48357,                0.34979,                0.35449,                0.22398,                 1.2274,                 2.0084,                 1.3833,             0.00058382,             0.00058382,             0.00058382
                      5,                 1.0208,                 1.2766,                 1.1721,                0.53348,                0.42729,                0.43897,                0.28984,                 1.1262,                 1.7608,                 1.2995,             0.00069986,             0.00069986,             0.00069986
                      6,                 1.0182,                 1.2813,                 1.1727,                0.54828,                0.44165,                0.48748,                0.32448,                 1.0936,                 1.4299,                 1.2718,             0.00069986,             0.00069986,             0.00069986
                      7,                0.98324,                 1.1643,                 1.1545,                0.48727,                0.46041,                0.46378,                0.31008,                 1.1223,                 1.5097,                 1.2817,             0.00069633,             0.00069633,             0.00069633
                      8,                 1.0121,                 1.1454,                 1.1589,                0.54764,                0.46537,                0.50057,                0.33396,                 1.0748,                 1.3666,                 1.2654,             0.00069279,             0.00069279,             0.00069279
                      9,                0.97928,                 1.1362,                 1.1511,                0.56012,                0.46898,                0.47907,                0.32365,                 1.0797,                 1.4167,                 1.2595,             0.00068926,             0.00068926,             0.00068926
                     10,                0.97577,                 1.1194,                  1.146,                0.58891,                0.46337,                0.49565,                0.34742,                 1.0389,                 1.3095,                 1.2141,             0.00068573,             0.00068573,             0.00068573
                     11,                0.95115,                 1.0558,                 1.1316,                0.58736,                0.46724,                0.50782,                0.35134,                 1.0512,                 1.3515,                 1.2352,             0.00068219,             0.00068219,             0.00068219
                     12,                0.92904,                 1.0435,                 1.1137,                0.54194,                0.48514,                0.50778,                0.35158,                 1.0242,                 1.3095,                 1.2205,             0.00067866,             0.00067866,             0.00067866
                     13,                0.91563,                  1.007,                 1.1029,                0.57679,                0.46053,                0.50673,                0.34854,                  1.044,                  1.302,                 1.2274,             0.00067512,             0.00067512,             0.00067512
                     14,                0.91417,                 0.9914,                 1.1004,                0.58402,                0.49446,                 0.5231,                0.35431,                 1.0574,                 1.2625,                 1.2392,             0.00067159,             0.00067159,             0.00067159
                     15,                 0.9006,                 0.9753,                 1.1071,                0.59456,                0.45674,                0.49704,                0.34551,                 1.0363,                 1.3043,                 1.2354,             0.00066805,             0.00066805,             0.00066805
                     16,                 0.8996,                0.97125,                 1.0971,                0.56563,                0.47284,                0.50363,                0.35132,                 1.0465,                 1.3033,                 1.2431,             0.00066452,             0.00066452,             0.00066452
                     17,                0.88784,                0.95591,                 1.0878,                0.56772,                0.49546,                0.53473,                0.37065,                 1.0469,                 1.3226,                 1.2311,             0.00066099,             0.00066099,             0.00066099
                     18,                0.86775,                0.92107,                 1.0753,                0.56743,                0.50797,                0.52907,                0.37369,                0.99886,                 1.2417,                 1.1998,             0.00065745,             0.00065745,             0.00065745
                     19,                0.86741,                 0.8951,                 1.0718,                0.59015,                0.52585,                 0.5383,                0.37866,                 1.0177,                 1.1967,                  1.205,             0.00065392,             0.00065392,             0.00065392
                     20,                0.87456,                0.93844,                 1.0838,                0.59307,                0.49136,                0.52806,                0.37132,                 1.0193,                  1.245,                 1.2159,             0.00065038,             0.00065038,             0.00065038
                     21,                0.85044,                0.85297,                  1.058,                 0.6221,                0.49364,                0.54159,                0.38365,                 1.0021,                 1.2453,                 1.1999,             0.00064685,             0.00064685,             0.00064685
                     22,                0.85312,                0.87468,                 1.0555,                0.61083,                 0.5042,                0.54727,                0.39078,                 0.9943,                 1.2017,                 1.2054,             0.00064331,             0.00064331,             0.00064331
                     23,                0.84726,                0.85999,                 1.0623,                0.59163,                0.52134,                0.54419,                0.38852,                0.99363,                 1.2319,                 1.1971,             0.00063978,             0.00063978,             0.00063978
                     24,                0.84127,                0.85324,                  1.067,                0.62715,                0.50184,                0.55224,                0.39311,                0.98328,                  1.204,                 1.1975,             0.00063625,             0.00063625,             0.00063625
                     25,                 0.8273,                0.81424,                 1.0544,                0.63022,                0.51953,                0.55667,                0.39843,                  1.007,                  1.225,                 1.2118,             0.00063271,             0.00063271,             0.00063271
                     26,                0.83419,                0.82562,                 1.0475,                0.61595,                0.52445,                0.55059,                0.38481,                 1.0257,                 1.1794,                 1.2248,             0.00062918,             0.00062918,             0.00062918
                     27,                0.82842,                0.82009,                 1.0455,                 0.6018,                0.52323,                 0.5521,                0.39983,                0.99466,                 1.1589,                 1.1951,             0.00062564,             0.00062564,             0.00062564
                     28,                0.81295,                0.77635,                 1.0356,                0.61053,                0.51057,                0.55355,                 0.3983,                0.97618,                 1.2274,                 1.1903,             0.00062211,             0.00062211,             0.00062211
                     29,                0.81931,                0.78856,                 1.0433,                0.57309,                0.52336,                0.54645,                0.39137,                0.98694,                 1.2311,                 1.1968,             0.00061857,             0.00061857,             0.00061857
                     30,                0.82192,                0.80695,                 1.0434,                0.59994,                0.52573,                0.55549,                0.39809,                 0.9915,                 1.1961,                 1.2009,             0.00061504,             0.00061504,             0.00061504
                     31,                0.81292,                0.79456,                 1.0407,                0.59874,                0.52877,                0.56942,                0.40879,                0.97997,                 1.1622,                 1.1924,             0.00061151,             0.00061151,             0.00061151
                     32,                0.80669,                0.76565,                 1.0391,                0.65094,                0.50586,                0.55809,                0.39647,                0.99276,                 1.2072,                 1.2023,             0.00060797,             0.00060797,             0.00060797
                     33,                0.79102,                0.74856,                 1.0296,                0.62462,                0.51253,                0.56428,                0.40284,                0.99752,                 1.2101,                 1.2048,             0.00060444,             0.00060444,             0.00060444
                     34,                0.80824,                0.76547,                 1.0359,                0.62793,                0.48436,                0.54291,                0.38805,                  1.013,                  1.194,                   1.22,              0.0006009,              0.0006009,              0.0006009
                     35,                0.79437,                 0.7441,                 1.0191,                0.67899,                0.50607,                0.56365,                0.40048,                0.99835,                 1.1831,                 1.2079,             0.00059737,             0.00059737,             0.00059737
                     36,                0.77859,                0.72923,                 1.0137,                0.64713,                0.51703,                0.56899,                0.40796,                 0.9811,                 1.2094,                 1.1922,             0.00059383,             0.00059383,             0.00059383
                     37,                0.77826,                0.71158,                 1.0131,                0.61987,                0.50201,                0.54083,                0.39181,                0.96994,                   1.19,                 1.1835,              0.0005903,              0.0005903,              0.0005903
                     38,                0.77649,                 0.7191,                 1.0144,                0.60033,                0.53098,                0.56451,                0.40907,                0.99646,                 1.2202,                 1.2066,             0.00058677,             0.00058677,             0.00058677
                     39,                0.77205,                0.70054,                 1.0074,                0.61671,                0.52511,                0.56049,                  0.404,                 0.9947,                  1.187,                 1.1984,             0.00058323,             0.00058323,             0.00058323
                     40,                0.77054,                0.68474,                 1.0018,                0.59033,                0.55683,                0.57068,                0.41121,                0.98076,                 1.2145,                 1.1969,              0.0005797,              0.0005797,              0.0005797
                     41,                0.75955,                0.69581,                 1.0093,                0.62478,                0.50688,                0.55249,                0.39182,                0.99743,                 1.2602,                 1.1994,             0.00057616,             0.00057616,             0.00057616
                     42,                0.77307,                0.69224,                 1.0118,                0.62964,                0.50606,                0.54617,                0.39449,                0.99935,                 1.2264,                 1.2072,             0.00057263,             0.00057263,             0.00057263
                     43,                0.76521,                0.67727,                 1.0064,                0.63408,                0.52393,                0.56778,                0.40953,                0.96921,                 1.1805,                 1.1925,             0.00056909,             0.00056909,             0.00056909
                     44,                0.76164,                0.68588,                0.99619,                0.66011,                0.53231,                0.59569,                0.43411,                0.96506,                 1.1632,                 1.1959,             0.00056556,             0.00056556,             0.00056556
                     45,                0.74732,                0.67448,                0.99235,                0.65015,                0.52165,                0.58576,                 0.4254,                0.96393,                 1.1828,                 1.1892,             0.00056203,             0.00056203,             0.00056203
                     46,                0.74852,                0.66655,                0.99644,                0.61717,                0.54042,                0.56949,                0.40837,                 0.9768,                 1.2097,                 1.1964,             0.00055849,             0.00055849,             0.00055849
                     47,                0.74299,                0.64559,                0.99182,                0.60366,                0.52324,                0.55641,                0.40229,                0.99469,                 1.3247,                  1.216,             0.00055496,             0.00055496,             0.00055496
                     48,                0.73425,                0.63206,                0.98793,                0.61325,                 0.5208,                 0.5511,                0.39939,                0.97116,                 1.2423,                 1.1835,             0.00055142,             0.00055142,             0.00055142
                     49,                0.74371,                0.63517,                0.98961,                0.59378,                0.52005,                0.55736,                0.40663,                0.97279,                 1.1729,                 1.1926,             0.00054789,             0.00054789,             0.00054789
                     50,                0.74085,                0.64649,                0.99465,                0.62634,                0.53396,                0.56001,                0.40773,                0.97262,                 1.2153,                 1.2027,             0.00054435,             0.00054435,             0.00054435
                     51,                0.73243,                0.62638,                0.98807,                0.64752,                0.52162,                0.57865,                0.41584,                0.96752,                  1.179,                 1.1908,             0.00054082,             0.00054082,             0.00054082
                     52,                0.74607,                0.63747,                0.98568,                0.63707,                  0.554,                0.58311,                0.42353,                0.95397,                 1.1275,                 1.1728,             0.00053728,             0.00053728,             0.00053728
                     53,                0.73626,                0.62368,                0.98885,                 0.6315,                0.52241,                0.55897,                 0.4083,                0.96066,                 1.2192,                 1.1861,             0.00053375,             0.00053375,             0.00053375
                     54,                 0.7214,                0.61522,                 0.9784,                0.63482,                0.53769,                 0.5711,                  0.419,                 0.9516,                 1.1602,                 1.1753,             0.00053022,             0.00053022,             0.00053022
                     55,                 0.7045,                0.61369,                 0.9849,                0.62474,                0.55257,                0.58403,                0.41928,                0.96662,                 1.1576,                 1.1926,             0.00052668,             0.00052668,             0.00052668
                     56,                0.72066,                0.60952,                0.98642,                0.60679,                0.54953,                0.57305,                0.41441,                0.96134,                 1.1691,                 1.1845,             0.00052315,             0.00052315,             0.00052315
                     57,                 0.7153,                0.61182,                0.98424,                0.65282,                0.54482,                0.58903,                0.43574,                0.95628,                 1.1538,                 1.1787,             0.00051961,             0.00051961,             0.00051961
                     58,                0.69519,                0.58774,                0.96558,                0.64904,                0.51383,                0.56646,                0.41811,                0.95453,                  1.196,                 1.1814,             0.00051608,             0.00051608,             0.00051608
                     59,                0.71693,                 0.6019,                0.97484,                0.62227,                0.52749,                0.57114,                0.42192,                0.94222,                 1.1733,                 1.1754,             0.00051254,             0.00051254,             0.00051254
                     60,                0.69851,                 0.5767,                0.96646,                0.62585,                0.52055,                 0.5662,                 0.4194,                0.96052,                 1.2164,                 1.1869,             0.00050901,             0.00050901,             0.00050901
                     61,                0.70144,                0.58853,                0.97392,                0.63599,                0.55959,                0.59043,                0.43172,                0.94155,                 1.1465,                 1.1677,             0.00050548,             0.00050548,             0.00050548
                     62,                0.71016,                0.58882,                0.96645,                0.68643,                0.49774,                0.57231,                 0.4198,                0.95478,                 1.1751,                 1.1873,             0.00050194,             0.00050194,             0.00050194
                     63,                0.70196,                0.58945,                0.97866,                0.66353,                0.52006,                0.57281,                0.41818,                0.96753,                 1.2297,                 1.1973,             0.00049841,             0.00049841,             0.00049841
                     64,                0.70604,                0.57954,                0.96936,                0.66456,                0.51526,                0.58001,                0.42347,                0.94092,                 1.1821,                 1.1829,             0.00049487,             0.00049487,             0.00049487
                     65,                0.68623,                0.55815,                0.95528,                0.61395,                0.56337,                0.57737,                0.42112,                0.95112,                 1.1579,                 1.1868,             0.00049134,             0.00049134,             0.00049134
                     66,                0.69672,                0.55967,                0.96453,                0.62135,                0.52921,                0.56609,                0.42006,                 0.9477,                 1.1883,                 1.1774,              0.0004878,              0.0004878,              0.0004878
                     67,                0.69171,                0.56485,                0.96349,                0.64619,                0.52968,                0.57477,                0.42661,                0.95368,                 1.1792,                 1.1834,             0.00048427,             0.00048427,             0.00048427
                     68,                0.68195,                0.56673,                 0.9677,                0.64437,                0.54508,                0.58701,                0.43375,                0.95612,                  1.186,                 1.1854,             0.00048074,             0.00048074,             0.00048074
                     69,                0.68082,                0.55533,                0.96047,                0.66235,                0.53448,                0.57412,                0.42637,                0.94814,                  1.197,                 1.1809,              0.0004772,              0.0004772,              0.0004772
                     70,                0.68517,                0.56344,                0.96536,                0.62826,                0.55001,                0.58407,                0.43483,                0.94901,                 1.1411,                 1.1798,             0.00047367,             0.00047367,             0.00047367
                     71,                0.68642,                0.55962,                0.96662,                0.64724,                0.51566,                0.57601,                0.42994,                  0.948,                 1.2095,                 1.1891,             0.00047013,             0.00047013,             0.00047013
                     72,                0.67127,                0.54615,                0.95895,                0.67891,                0.52786,                0.58747,                0.43144,                0.93984,                 1.1741,                 1.1728,              0.0004666,              0.0004666,              0.0004666
