                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5306,                 3.3155,                 1.5614,                0.45575,                0.24967,                0.21044,                0.12237,                 1.2604,                 2.6934,                 1.3572,              0.0001428,              0.0001428,              0.0001428
                      2,                 1.1142,                 1.6703,                 1.2257,                0.49591,                0.38898,                0.35105,                0.22411,                  1.086,                 2.2899,                 1.2396,             0.00029129,             0.00029129,             0.00029129
                      3,                 1.0401,                 1.4263,                 1.1795,                0.49536,                0.40181,                 0.3792,                0.25396,                 1.1547,                 1.8495,                 1.3141,              0.0004383,              0.0004383,              0.0004383
                      4,                 1.0232,                  1.323,                 1.1707,                0.50346,                0.39219,                0.40557,                 0.2684,                 1.1535,                 1.6599,                 1.3198,             0.00058382,             0.00058382,             0.00058382
                      5,                 1.0287,                 1.2807,                 1.1828,                 0.5591,                0.45224,                 0.4538,                0.30742,                 1.0876,                   1.71,                 1.2761,             0.00069986,             0.00069986,             0.00069986
                      6,                 1.0209,                 1.2806,                  1.176,                 0.5127,                 0.4603,                0.47918,                0.31727,                 1.1131,                 1.4226,                 1.2761,             0.00069986,             0.00069986,             0.00069986
                      7,                0.98436,                 1.1768,                 1.1537,                0.53291,                0.47136,                0.47974,                0.31863,                 1.1043,                 1.5447,                 1.2434,             0.00069633,             0.00069633,             0.00069633
                      8,                 1.0072,                 1.1362,                 1.1545,                0.58131,                0.44737,                0.48734,                0.32992,                 1.0915,                 1.4199,                 1.2611,             0.00069279,             0.00069279,             0.00069279
                      9,                0.97761,                 1.1272,                 1.1464,                0.55389,                0.41826,                0.43885,                0.29228,                 1.1205,                 1.5146,                   1.29,             0.00068926,             0.00068926,             0.00068926
                     10,                0.98071,                 1.1329,                 1.1488,                0.62548,                0.45314,                0.50759,                0.35053,                 1.0683,                 1.3447,                 1.2331,             0.00068573,             0.00068573,             0.00068573
                     11,                0.95671,                 1.0752,                  1.133,                0.57771,                0.46023,                0.49489,                0.34381,                 1.0675,                 1.4781,                   1.25,             0.00068219,             0.00068219,             0.00068219
                     12,                0.93371,                 1.0566,                 1.1155,                 0.5856,                0.48386,                0.50517,                0.34866,                 1.0644,                 1.3451,                 1.2335,             0.00067866,             0.00067866,             0.00067866
                     13,                0.91187,                 1.0154,                 1.1019,                0.56761,                0.48259,                0.50555,                0.34648,                 1.0744,                 1.3088,                 1.2476,             0.00067512,             0.00067512,             0.00067512
