epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.21598,1.54161,4.21045,3.8105,1.61433,0.01524,0.39683,0.03468,0.01931,0.01302,0.32112,0.02776,0.01883,1.80789,4.40078,3.75713,1.98342,2.727e-05,2.727e-05,2.727e-05
2,3.85665,1.65178,4.62464,3.79818,1.74971,0.01767,0.41819,0.04277,0.02536,0.01485,0.31441,0.03864,0.02654,1.86481,4.42051,3.74344,2.01413,6.23701e-05,6.23701e-05,6.23701e-05
3,4.57206,1.46881,3.76174,3.74228,1.53933,0.02121,0.48527,0.07624,0.04581,0.01868,0.40659,0.07266,0.05006,1.82118,4.34406,3.74307,1.97132,9.60304e-05,9.60304e-05,9.60304e-05
4,5.21239,1.4355,3.50925,3.6953,1.53946,0.01822,0.49382,0.08804,0.05632,0.01559,0.43468,0.08714,0.0538,1.86365,4.37006,3.70479,1.96605,0.000128251,0.000128251,0.000128251
5,5.94738,1.35766,3.08524,3.59075,1.46315,0.01517,0.49512,0.15732,0.07609,0.01409,0.46276,0.15058,0.06286,1.82355,4.52282,3.68159,1.93709,0.000159031,0.000159031,0.000159031
6,6.65085,1.36954,3.10422,3.50703,1.41913,0.01556,0.50366,0.19285,0.08848,0.01363,0.46276,0.18693,0.06778,1.81661,4.59137,3.67426,1.9101,0.000188372,0.000188372,0.000188372
7,7.55578,1.32403,2.76845,3.38976,1.35,0.01753,0.54998,0.22413,0.11163,0.01371,0.46276,0.20816,0.08269,1.74438,4.71428,3.63848,1.86457,0.000216273,0.000216273,0.000216273
8,8.31292,1.32898,2.89244,3.14436,1.48353,0.01836,0.55853,0.24272,0.11431,0.01363,0.43895,0.22605,0.09552,1.73873,4.82036,3.61953,1.85409,0.000242734,0.000242734,0.000242734
9,9.08054,1.31494,2.8812,3.08132,1.43902,0.01802,0.55425,0.32774,0.14237,0.01418,0.46276,0.30782,0.10255,1.75579,4.92413,3.5906,1.8316,0.000267755,0.000267755,0.000267755
10,9.80281,1.36728,2.93202,3.09396,1.46742,0.01973,0.5267,0.32291,0.14257,0.01335,0.43468,0.30071,0.09234,1.71534,5.02078,3.54917,1.81807,0.000291336,0.000291336,0.000291336
11,10.4155,1.29314,2.79869,3.04062,1.39961,0.94662,0.05556,0.32282,0.14611,0.94662,0.05556,0.30436,0.08397,1.74727,4.95983,3.5425,1.85766,0.000313478,0.000313478,0.000313478
12,11.1237,1.42558,2.71977,2.70766,1.51701,0.96546,0.05556,0.32468,0.14621,0.96546,0.05556,0.28174,0.09687,1.79687,4.98422,3.52199,1.92297,0.000334179,0.000334179,0.000334179
13,11.8296,1.23627,2.44801,2.58494,1.37728,0.94103,0.05556,0.30936,0.14801,0.94103,0.05556,0.27645,0.09864,1.90814,4.90972,3.5197,2.02289,0.000353441,0.000353441,0.000353441
14,12.7623,1.23089,2.53232,2.59065,1.38818,0.87828,0.22222,0.28947,0.13854,0.87828,0.22222,0.26375,0.08141,1.9657,4.86549,3.56092,2.12547,0.000371263,0.000371263,0.000371263
15,13.4312,1.29019,2.55073,2.63366,1.38681,0.91976,0.16667,0.28166,0.16193,0.91976,0.16667,0.24977,0.09987,1.9476,4.86048,3.55265,2.16211,0.000387645,0.000387645,0.000387645
16,14.1424,1.24848,2.51014,2.37301,1.39459,0.91976,0.16667,0.28166,0.16193,0.91976,0.16667,0.24977,0.09987,1.9476,4.86048,3.55265,2.16211,0.000402587,0.000402587,0.000402587
17,14.8499,1.26416,2.47325,2.54576,1.41407,0.96746,0.16667,0.27691,0.15068,0.96746,0.16667,0.23013,0.08596,1.91637,4.99808,3.48338,2.11734,0.000416089,0.000416089,0.000416089
18,15.5023,1.27897,2.55819,2.40894,1.39541,0.96462,0.16667,0.27349,0.12403,0.96462,0.16667,0.22223,0.07054,1.88265,5.05764,3.39136,2.10731,0.000428152,0.000428152,0.000428152
19,16.1996,1.27626,2.51927,2.36337,1.43635,0.96462,0.16667,0.27349,0.12403,0.96462,0.16667,0.22223,0.07054,1.88265,5.05764,3.39136,2.10731,0.000438774,0.000438774,0.000438774
20,17.1767,1.21254,2.29635,2.37548,1.37154,0.72642,0.17593,0.17992,0.08909,0.56254,0.16667,0.12693,0.04382,1.91685,4.9864,3.34933,2.15054,0.000447957,0.000447957,0.000447957
21,17.8986,1.299,2.39415,2.30577,1.36485,0.02754,0.5955,0.15035,0.06913,0.01872,0.42687,0.06886,0.03091,1.92026,4.80662,3.32184,2.16915,0.0004557,0.0004557,0.0004557
22,18.6435,1.23399,2.54824,2.30699,1.36821,0.02754,0.5955,0.15035,0.06913,0.01872,0.42687,0.06886,0.03091,1.92026,4.80662,3.32184,2.16915,0.000462003,0.000462003,0.000462003
23,19.3604,1.15421,2.38149,2.21055,1.3455,0.02804,0.55383,0.19012,0.06932,0.01814,0.42427,0.05071,0.02567,1.92862,4.73321,3.32159,2.1806,0.000466866,0.000466866,0.000466866
24,20.0123,1.23273,2.30743,2.14405,1.34275,0.02804,0.55383,0.19012,0.06932,0.01814,0.42427,0.05071,0.02567,1.92862,4.73321,3.32159,2.1806,0.000470289,0.000470289,0.000470289
25,20.6782,1.24922,2.36734,2.24748,1.35373,0.64427,0.08837,0.16609,0.065,0.56499,0.06823,0.05573,0.02682,1.95623,4.76064,3.16785,2.19697,0.000472273,0.000472273,0.000472273
26,21.3155,1.21943,2.24969,2.10111,1.3313,0.64427,0.08837,0.16609,0.065,0.56499,0.06823,0.05573,0.02682,1.95623,4.76064,3.16785,2.19697,0.000459045,0.000459045,0.000459045
27,21.9876,1.1376,2.15864,2.06278,1.29283,0.49062,0.15403,0.2125,0.07305,0.03922,0.46159,0.0474,0.01834,1.96304,4.75214,2.99599,2.20444,0.000441047,0.000441047,0.000441047
28,22.6037,1.21705,2.42699,2.12747,1.35275,0.49062,0.15403,0.2125,0.07305,0.03922,0.46159,0.0474,0.01834,1.96304,4.75214,2.99599,2.20444,0.000423049,0.000423049,0.000423049
29,23.428,1.20644,2.18243,2.03664,1.34911,0.49659,0.29852,0.19268,0.06644,0.41726,0.09562,0.05739,0.02197,1.98834,4.72978,2.86658,2.20192,0.00040505,0.00040505,0.00040505
30,24.095,1.17042,2.10994,1.88692,1.30576,0.49659,0.29852,0.19268,0.06644,0.41726,0.09562,0.05739,0.02197,1.98834,4.72978,2.86658,2.20192,0.000387052,0.000387052,0.000387052
31,24.8124,1.1416,2.14466,2.03609,1.28673,0.49025,0.28149,0.21518,0.08521,0.46525,0.25975,0.14909,0.0631,2.00892,4.67007,2.76109,2.21656,0.000369054,0.000369054,0.000369054
32,25.4716,1.17633,2.1605,1.85668,1.33064,0.49025,0.28149,0.21518,0.08521,0.46525,0.25975,0.14909,0.0631,2.00892,4.67007,2.76109,2.21656,0.000351056,0.000351056,0.000351056
33,26.1287,1.20147,2.21977,1.94031,1.38209,0.55936,0.19565,0.29787,0.11677,0.51948,0.18116,0.23809,0.10579,1.96074,4.6893,2.72313,2.17336,0.000333058,0.000333058,0.000333058
34,26.7517,1.07091,2.01267,1.68493,1.20855,0.55936,0.19565,0.29787,0.11677,0.51948,0.18116,0.23809,0.10579,1.96074,4.6893,2.72313,2.17336,0.000315059,0.000315059,0.000315059
35,27.4057,1.16106,2.03489,1.81316,1.24271,0.56464,0.18841,0.27889,0.11543,0.53695,0.18116,0.23444,0.12366,2.00789,4.69116,2.71746,2.19201,0.000297061,0.000297061,0.000297061
36,28.0728,1.11244,2.10253,1.79809,1.28227,0.56464,0.18841,0.27889,0.11543,0.53695,0.18116,0.23444,0.12366,2.00789,4.69116,2.71746,2.19201,0.000279063,0.000279063,0.000279063
37,29.047,1.1378,2.13087,1.81415,1.29291,0.60166,0.2447,0.27825,0.10362,0.5555,0.2356,0.24006,0.12526,2.02222,4.70438,2.72996,2.21117,0.000261065,0.000261065,0.000261065
38,29.6701,1.04039,2.06671,1.75143,1.21324,0.60166,0.2447,0.27825,0.10362,0.5555,0.2356,0.24006,0.12526,2.02222,4.70438,2.72996,2.21117,0.000243067,0.000243067,0.000243067
39,30.337,1.09914,2.21303,1.58466,1.29049,0.6845,0.30654,0.28009,0.1059,0.60899,0.29205,0.24936,0.12715,2.03494,4.72009,2.68904,2.21072,0.000225068,0.000225068,0.000225068
40,31.0131,1.09903,2.22886,1.72059,1.26555,0.6845,0.30654,0.28009,0.1059,0.60899,0.29205,0.24936,0.12715,2.03494,4.72009,2.68904,2.21072,0.00020707,0.00020707,0.00020707
41,33.2777,1.1951,2.44785,2.17274,1.3652,0.49647,0.30702,0.28584,0.11059,0.49146,0.30615,0.26143,0.11429,2.06024,4.75964,2.62056,2.21762,0.000189072,0.000189072,0.000189072
42,34.3278,1.02627,2.06786,1.68488,1.30649,0.49647,0.30702,0.28584,0.11059,0.49146,0.30615,0.26143,0.11429,2.06024,4.75964,2.62056,2.21762,0.000171074,0.000171074,0.000171074
