                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6903,                 4.5502,                 3.8498,                 1.6713,                0.01398,                 0.3998,                0.02131,                0.01058,                0.01022,                0.13065,                0.01583,                 0.0098,                  1.857,                 4.4847,                 3.7275,                   2.02,              2.727e-05,              2.727e-05,              2.727e-05
                      2,                  1.598,                 4.2194,                   3.84,                  1.639,                0.01522,                0.41262,                 0.0378,                0.02081,                0.01126,                0.34921,                0.02896,                0.01929,                 1.7807,                 4.3568,                 3.7278,                  1.964,              6.237e-05,              6.237e-05,              6.237e-05
                      3,                 1.5161,                 3.5168,                 3.7759,                 1.5955,                0.01955,                0.47672,                0.08633,                0.05361,                0.01468,                0.40904,                0.07282,                0.05105,                 1.7848,                  4.267,                  3.712,                 1.9348,              9.603e-05,              9.603e-05,              9.603e-05
                      4,                 1.3503,                 3.4632,                 3.6294,                 1.4999,                0.02368,                0.49976,                0.14959,                 0.0709,                0.01457,                 0.4304,                0.13487,                0.06303,                 1.7774,                 4.3209,                  3.711,                 1.9363,             0.00012825,             0.00012825,             0.00012825
                      5,                 1.3338,                 3.1512,                  3.612,                 1.4622,                0.02246,                0.53769,                0.28675,                0.11213,                 0.0163,                 0.4475,                0.27514,                0.07893,                 1.7614,                 4.5555,                 3.6899,                 1.9157,             0.00015903,             0.00015903,             0.00015903
                      6,                 1.4249,                 3.1827,                 3.5114,                 1.4973,                0.02126,                0.51388,                 0.3072,                0.13825,                0.01687,                0.45177,                0.29189,                0.10056,                 1.7654,                 4.7148,                 3.6861,                  1.921,             0.00018837,             0.00018837,             0.00018837
                      7,                 1.2975,                 2.8669,                 3.3409,                  1.376,                0.02157,                0.47656,                0.27109,                0.14034,                0.01535,                0.40659,                0.11342,                0.06398,                 1.8592,                  5.229,                 3.6797,                 2.0196,             0.00021627,             0.00021627,             0.00021627
                      8,                 1.2576,                 2.7867,                 2.8835,                 1.4187,                0.02623,                0.52341,                0.28251,                0.12235,                0.01694,                0.40957,                0.10984,                0.06252,                 1.8545,                 5.5332,                 3.6528,                 2.0063,             0.00024273,             0.00024273,             0.00024273
                      9,                 1.2686,                 2.7602,                 3.0626,                 1.3876,                0.02629,                0.52341,                0.30231,                0.13089,                  0.016,                0.42483,                0.11737,                0.06483,                 1.8199,                 5.7498,                 3.6158,                  1.973,             0.00026776,             0.00026776,             0.00026776
                     10,                 1.2556,                 2.7551,                 3.0172,                 1.3854,                0.76031,                0.22222,                0.29682,                0.14759,                0.76031,                0.22222,                0.25391,                0.07554,                 1.8425,                 5.9415,                 3.5817,                 1.9924,             0.00029134,             0.00029134,             0.00029134
