                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7983,                  4.381,                 5.3278,                 1.8109,                0.00222,                0.02222,                0.00135,                0.00078,                      0,                      0,                      0,                      0,                 1.5966,                 90.912,                 5.3633,                 1.8747,                 0.0951,                 0.0001,                 0.0001
                      2,                 1.7143,                  4.483,                 3.5993,                 1.7245,                0.33533,                0.43411,                0.16984,                0.05154,                0.41157,                0.04895,                 0.0128,                0.00478,                 1.8662,                 116.27,                 10.866,                 2.0104,               0.089219,             0.00021927,             0.00021927
                      3,                 1.6776,                 3.8254,                 2.6051,                 1.6394,                0.43877,                0.27397,                0.16445,                  0.098,                0.00948,                 0.1028,                0.00658,                0.00195,                 1.7185,                 57.246,                 11.373,                 1.8079,               0.083338,             0.00033776,             0.00033776
                      4,                 1.6936,                 3.4771,                 2.3754,                 1.5689,                0.44661,                0.26068,                0.08994,                0.05308,                0.02055,                0.13869,                0.00985,                0.00188,                 1.7916,                  93.99,                 11.517,                 1.9536,               0.077455,             0.00045545,             0.00045545
                      5,                 1.7285,                 3.4324,                 2.3416,                 1.5865,                0.28132,                0.25944,                0.11769,                0.05758,                0.23699,                0.07972,                0.02804,                0.00869,                 1.9615,                 49.301,                 10.774,                 2.2288,               0.071572,             0.00057234,             0.00057234
                      6,                 1.7292,                 3.4215,                 2.4288,                 1.6402,                0.13209,                0.36721,                0.13417,                 0.0406,                0.24317,                0.01818,                0.01225,                0.00332,                 2.2379,                 33.151,                 7.0113,                  2.439,               0.065688,             0.00068845,             0.00068845
                      7,                 1.8426,                 3.3467,                 2.3649,                 1.6475,                    0.8,                0.06923,                0.12659,                0.06105,                0.25214,                0.07692,                0.06052,                0.01194,                 1.9168,                 26.371,                 8.2894,                 2.1323,               0.059804,             0.00080376,             0.00080376
                      8,                   1.82,                   3.47,                 2.1885,                 1.6641,                0.32099,                0.27117,                0.15815,                0.07146,                0.25737,                0.05664,                0.03384,                0.01196,                  1.924,                 31.992,                 7.9511,                 2.1896,               0.053918,             0.00091829,             0.00091829
                      9,                 1.7612,                 3.2142,                 2.1501,                 1.6884,                0.51027,                0.12222,                0.19216,                0.07974,                0.41063,                0.01538,                  0.006,                0.00322,                 1.9973,                 44.777,                 6.5366,                 2.4195,               0.048032,               0.001032,               0.001032
                     10,                 1.8454,                  3.345,                 2.2338,                 1.7184,                0.31619,                0.15493,                0.09066,                0.03272,                0.20794,                0.04895,                0.00297,                  0.001,                 2.3799,                 39.008,                 6.3649,                 2.8174,               0.042145,               0.001145,               0.001145
                     11,                 1.8639,                  3.288,                 2.2418,                 1.7023,                0.04652,                0.15043,                0.02817,                0.01486,                0.00661,                0.01538,                0.00119,                0.00017,                  2.275,                 43.868,                 10.966,                 2.6309,               0.036257,              0.0012571,              0.0012571
                     12,                 1.7332,                 3.1658,                 2.6973,                 1.7766,                0.25438,                0.13341,                0.04676,                0.02602,                0.20104,                0.00769,                0.00023,                  9e-05,                 2.1202,                 45.228,                 11.232,                 2.4756,               0.030368,              0.0013685,              0.0013685
                     13,                 1.6335,                 2.9802,                  2.072,                 1.5833,                0.10098,                0.26092,                0.04301,                0.02393,                      0,                      0,                      0,                      0,                 2.2614,                 37.254,                 32.689,                 2.5522,               0.024479,               0.001479,               0.001479
                     14,                 1.6927,                 3.0714,                 2.1683,                  1.639,                0.04438,                0.29938,                0.02092,                0.01293,                0.40329,                0.12222,                0.00144,                0.00072,                  2.279,                 26.628,                 65.859,                 2.6943,               0.018589,              0.0015888,              0.0015888
                     15,                 1.6456,                 3.0309,                 2.1561,                 1.6575,                0.04438,                0.29938,                0.02092,                0.01293,                0.40329,                0.12222,                0.00144,                0.00072,                  2.279,                 26.628,                 65.859,                 2.6943,               0.012698,              0.0016978,              0.0016978
                     16,                 1.6779,                 3.4128,                 1.9408,                 1.6232,                0.11384,                0.23271,                0.04588,                0.03163,                0.00047,                    0.1,                0.00032,                  6e-05,                 2.1964,                 39.011,                 70.816,                 2.5583,              0.0068059,               0.001806,               0.001806
                     17,                 1.7601,                 3.2064,                 2.0394,                 1.6735,                0.06167,                0.12852,                 0.0832,                0.04729,                 0.0787,                0.07677,                0.05204,                0.01998,                 2.3503,                 14.332,                 42.613,                 2.6685,              0.0018944,              0.0018944,              0.0018944
                     18,                 1.7461,                 3.2623,                  2.205,                 1.6829,                0.07503,                0.13621,                0.06555,                0.02775,                0.04599,                0.08446,                0.04074,                0.01643,                 2.2399,                 8.2795,                 34.254,                  2.662,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.6707,                 3.2253,                 2.1086,                 1.6323,                0.07503,                0.13621,                0.06555,                0.02775,                0.04599,                0.08446,                0.04074,                0.01643,                 2.2399,                 8.2795,                 34.254,                  2.662,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.8022,                 3.4004,                 2.1176,                 1.7299,                0.05741,                0.17762,                0.06144,                0.02306,                0.04712,                0.16224,                0.03798,                0.01038,                 2.3001,                 6.6798,                 22.502,                 2.9379,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.9189,                 3.3746,                 2.1671,                 1.7665,                 0.2265,                 0.2296,                0.03045,                0.01198,                0.21942,                0.05664,                 0.0148,                0.00408,                 2.3262,                 7.4806,                 15.742,                 3.0749,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.8124,                 3.3338,                 2.1421,                 1.7307,                0.27482,                0.09829,                0.06699,                0.02137,                0.81481,                0.01538,                 0.0118,                0.00316,                   2.44,                 9.1992,                 13.647,                 3.1396,               0.001868,               0.001868,               0.001868
                     23,                 1.8409,                 3.2948,                 2.0868,                 1.7579,                0.27482,                0.09829,                0.06699,                0.02137,                0.81481,                0.01538,                 0.0118,                0.00316,                   2.44,                 9.1992,                 13.647,                 3.1396,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.7404,                 3.2161,                 2.1726,                 1.5966,                0.20949,                0.40334,                0.01639,                0.00568,                0.20423,                0.04126,                0.00275,                0.00077,                 2.5419,                 8.8732,                 23.177,                 3.2229,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.8942,                 3.2761,                 2.4138,                 1.7366,                0.22974,                0.26418,                0.02926,                0.01276,                0.21024,                0.16434,                0.01675,                0.00726,                 2.3402,                  6.638,                 11.369,                  2.787,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.8396,                 3.4781,                 2.4268,                 1.7641,                0.21804,                0.26418,                 0.0262,                0.01014,                0.41916,                0.02308,                0.01557,                0.00558,                 2.3857,                 6.6601,                  7.417,                 2.8615,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.8009,                 3.3453,                 2.1795,                 1.7128,                0.21804,                0.26418,                 0.0262,                0.01014,                0.41916,                0.02308,                0.01557,                0.00558,                 2.3857,                 6.6601,                  7.417,                 2.8615,               0.001835,               0.001835,               0.001835
                     28,                 1.8178,                 3.4428,                 2.2345,                 1.7174,                0.23639,                 0.1028,                0.03969,                0.01963,                 0.2333,                 0.0951,                0.02309,                  0.008,                 2.2304,                  6.545,                 4.6063,                 2.6228,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.8109,                  3.246,                 2.1818,                 1.7215,                 0.2998,                0.32486,                0.09313,                 0.0462,                0.27936,                0.26542,                0.06401,                0.02357,                 2.2806,                 6.2737,                 5.5801,                  2.632,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.7322,                 3.1127,                 1.9888,                 1.6404,                0.36892,                0.42362,                0.16811,                0.08233,                0.34943,                0.36138,                0.13952,                0.05048,                  2.178,                 5.5805,                 4.4121,                 2.5577,              0.0018152,              0.0018152,              0.0018152
                     31,                 1.5796,                 2.9255,                 1.8103,                 1.5674,                0.36892,                0.42362,                0.16811,                0.08233,                0.34943,                0.36138,                0.13952,                0.05048,                  2.178,                 5.5805,                 4.4121,                 2.5577,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.8405,                 3.2407,                 2.3551,                 1.8016,                0.43072,                0.42841,                 0.2657,                0.12037,                0.60243,                0.30607,                0.23947,                  0.067,                 2.1633,                 5.2425,                 3.8899,                 2.5125,               0.001802,               0.001802,               0.001802
                     33,                 1.7752,                 3.3964,                 2.1745,                 1.7927,                0.19786,                0.44584,                0.25791,                0.10295,                 0.1471,                0.31329,                 0.2013,                 0.0494,                 2.1945,                  5.611,                  3.697,                 2.4885,              0.0017954,              0.0017954,              0.0017954
                     34,                 1.8241,                 3.3847,                 2.0514,                 1.7039,                0.33954,                0.27382,                0.15603,                0.06962,                0.32781,                0.21523,                0.12767,                0.03921,                  2.188,                 5.6812,                 3.7931,                 2.4767,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.6981,                 3.1332,                 1.8879,                 1.7001,                0.33954,                0.27382,                0.15603,                0.06962,                0.32781,                0.21523,                0.12767,                0.03921,                  2.188,                 5.6812,                 3.7931,                 2.4767,              0.0017822,              0.0017822,              0.0017822
                     36,                   1.71,                 3.1774,                 2.0939,                 1.6636,                0.37058,                0.15859,                0.15016,                0.06115,                0.41808,                0.12222,                0.14903,                0.05171,                 2.1077,                 5.5375,                 4.3078,                 2.3391,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.7041,                 3.1391,                 2.0225,                 1.6364,                0.49355,                0.20227,                0.28363,                0.10411,                0.45707,                0.15664,                0.25342,                0.10126,                  2.149,                 5.3694,                 4.0433,                 2.3483,               0.001769,               0.001769,               0.001769
                     38,                 1.5944,                 2.9758,                 1.7862,                 1.5276,                0.53498,                0.21317,                0.24275,                0.12087,                0.53533,                0.21263,                0.22468,                0.09868,                 2.0539,                 4.6557,                 3.6947,                 2.1493,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.7784,                 3.0937,                 1.8283,                 1.6242,                0.53498,                0.21317,                0.24275,                0.12087,                0.53533,                0.21263,                0.22468,                0.09868,                 2.0539,                 4.6557,                 3.6947,                 2.1493,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.7774,                 3.3015,                  1.999,                 1.6996,                0.68611,                0.27273,                0.25588,                0.12752,                0.68611,                0.27273,                0.23636,                0.11615,                 2.0894,                 4.8276,                 3.4071,                 2.2395,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.7373,                 3.2893,                  1.924,                 1.7068,                 0.6296,                0.32937,                0.22886,                0.12066,                0.58852,                 0.3035,                0.19511,                0.08559,                 2.0817,                 4.8575,                 2.9625,                 2.2165,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.7853,                 3.1132,                 2.0098,                 1.7043,                0.63094,                0.30629,                0.22555,                 0.1214,                0.60829,                0.29397,                 0.1896,                0.08617,                  2.051,                  4.859,                 2.8517,                 2.1459,               0.001736,               0.001736,               0.001736
                     43,                 1.7076,                 3.0184,                  1.794,                  1.591,                0.63094,                0.30629,                0.22555,                 0.1214,                0.60829,                0.29397,                 0.1896,                0.08617,                  2.051,                  4.859,                 2.8517,                 2.1459,              0.0017294,              0.0017294,              0.0017294
